Meme ID,url,title,Meme Page URL,MD5 Hash,File Size (In Bytes),Alternate Text,Display Name,Upper Text,Lower Text,downvotes,upvotes
10179023,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179023.jpg,Philosoraptor,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179023,3852001966206a45e2ae0d75c7e251bc,49729,??????? ?????? ????? ?? ????? ??????? ??? ????????,Philosoraptor,??????? ??????,????? ?? ????? ??????? ??? ????????,883,708
10179030,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179030.jpg,Venger,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179030,0330255813d0a4a5c897b6a4f22d9e1f,43184,?????? ????????? ????? ?? ??? ?? ?????,Venger,?????? ????????? ????? ?? ??? ?? ?????,-,200,954
10179034,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179034.jpg,roleplayercat,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179034,d1de665eed499117aadb0576a2d22d61,36544,"??????,???????? ? ???! ? ???????",roleplayercat,"??????,???????? ? ???!",? ???????,733,470
10179067,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179067.jpg,Philosoraptor,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179067,fb110987b0eaa9326332f9a8eb1206d0,51452,???? ?? ???? ?? ?????? ?????? ????? ?? ???????????,Philosoraptor,???? ?? ????-?? ??????,?????? ????? ?? ???????????,230,424
10179070,http://webarchive.loc.gov/all/0/https://cdn.meme.am/instances/250x250/10179070.jpg,Science Major Mouse,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179070,a5c72adbd7c16d5e1c62de2bd2bd7db9,41644,Science major Whats an elective?,Science Major Mouse,Science major,Whats an elective?,168,163
10179086,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179086.jpg,Yo Dawg,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179086,8589ecbbc3bf091f7879c45ecf61b2be,47108,"???, ??????? ?? ????? ?????",Yo Dawg,"???, ??????? ?? ?????",?????,234,262
10179093,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179093.jpg,Never Alone Guy,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179093,54fee6e9aea6721aa2f9c89ea8c34768,42532,? ???? ?????????  ??? ???? ???,Never Alone Guy,? ???? ????????? ,??? ???? ???,329,889
10179099,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179099.jpg,Insanity Wolf,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179099,090604cb6c97acffb1f2e2ee98d81771,58022,MONO! LOBO CTM LOBOO!,Insanity Wolf,MONO!,LOBO CTM LOBOO!,557,511
10179119,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179119.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179119,3f27e70c33f4a41b15656aed2cd10091,24860,Asno,Y U No,Asno,-,924,763
10179127,http://webarchive.loc.gov/all/0/https://cdn.meme.am/instances/250x250/10179127.jpg,Foul Bachelor Frog,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179127,eb07ab9f03b610ed0a8cfd5df6905eca,38076,mano en mouse mano en  bolas,Foul Bachelor Frog,mano en mouse,mano en  bolas,415,159
